"","Fuel.Combustion.Activites","Energy.Industries","Manufacturing.Industries.and.Construction","Transport","Commercial.Institutional","Residential","Industrial.Processes.and.Product.Use","Agriculture","Waste.and.Others","Indirect.CO2","International.aviation","International.maritime.transport","Indirect.GHG","year"
"...4",381.29380501,66.37322592,78.44335005,122.81911916,30.54800786,59.81908985,67.20034931,82.31156547,17.26311239,"0",8.53905928,8.03388328,0,1990
"...5",408.027897,67.831099,87.587287,125.360109,32.796509,71.262193,67.382655,81.842495,17.928177,"  0.000000",8.383129,8.331237,0,1991
"...6",399.100981,68.93756,80.71701,129.923015,29.748731,66.274942,65.254713,80.393573,18.726364,"  0.000000",9.83482,8.077474,0,1992
"...7",379.885541,56.792257,77.188608,129.860324,27.601902,64.683795,62.870314,79.412236,19.504803,"  0.000000",10.186777,7.815415,0,1993
"...8",372.297355,53.186564,77.613575,130.939255,24.410388,62.297133,63.923911,79.012071,20.054685,"  0.000000",10.609352,6.972191,0,1994
"...9",379.03969,55.93598,80.05789,132.79205,24.942,61.66403,63.87047,79.73709,20.47837,"  0.00000",10.69269,7.1909,0,1995
"...10",395.212064,60.700883,82.673952,134.480786,28.785067,65.72886,64.371631,80.162781,20.722991,"  0.000000",11.361227,7.550539,0,1996
"...11",386.637776,57.089849,81.443421,136.993682,27.124575,61.830158,65.071835,80.518563,20.84608,"  0.000000",11.660122,8.284015,0,1997
"...12",405.60488,69.5833,81.13034,139.1205,30.94347,62.57919,59.51614,80.42825,21.28176,"  0.00000",12.61177,9.14056,0,1998
"...13",401.24865,62.972336,79.599553,141.458258,31.863694,63.574369,55.196005,80.87657,21.508961,"  0.000000",13.954986,9.243322,0,1999
"...14",394.05031,62.62063,78.102356,140.914452,29.871897,61.469921,53.869379,82.686688,21.862934,"  0.000000",14.484491,9.552886,0,2000
"...15",399.258217,56.37856,79.334926,143.689498,30.488375,68.418359,53.827745,82.166939,22.028794,"  0.000000",14.454071,8.095886,0,2001
"...16",393.704906,59.188156,76.327065,144.577596,28.427483,65.493577,53.858758,80.808956,22.141074,"  0.000000",14.526047,7.841848,0,2002
"...17",400.472517,62.495036,75.705902,143.889243,31.364358,67.593107,54.589364,77.950915,22.144379,"  0.000000",14.722508,8.495466,0,2003
"...18",399.945315,61.428202,71.845482,144.452915,33.803945,68.749655,53.232931,78.399639,21.841776,"  0.000000",15.680323,9.694388,0,2004
"...19",402.789646,66.887146,73.2736,142.188539,33.286349,68.187132,53.148645,77.307769,21.628513,"  0.000000",15.875416,8.865263,0,2005
"...20",392.021247,62.860044,72.7521,141.50165,31.939219,64.201424,52.122584,76.885256,21.461351,"  0.000000",16.716746,9.219788,0,2006
"...21",380.7671115,62.44774655,70.24587176,140.1408377,30.1612285,59.16151348,52.55135948,77.81014754,21.0834558,"0",17.40269429,9.46338933,0,2007
"...22",375.96227332,61.23377794,67.72096034,133.58328512,31.07060186,63.24948547,50.31228162,78.49492288,20.88465445,"0",17.50882554,8.23967703,0,2008
"...23",362.2724796,59.32317166,53.93875781,131.98686452,32.96074164,65.39158827,45.38931147,77.66112509,20.25228316,"0",16.03929644,8.23447124,0,2009
"...24",368.00716359,59.85190613,58.91265034,134.95599733,30.74678388,65.33427874,46.98719245,76.46247168,20.38378776,"0",16.12235569,7.99619656,0,2010
"...25",343.4325,51.486949,57.358778,135.010161,26.954097,54.867068,46.569995,75.65741,19.856154,"  0.000000",16.751268,8.566764,0,2011
"...26",346.073036,52.77398635,55.88882363,133.47758665,31.65395512,55.67675109,44.63502129,75.56270997,19.09207958,"0",16.42275926,8.09447252,0,2012
"...27",346.93912137,52.38469524,55.96174973,132.89916394,32.85997579,56.00535768,44.83614125,75.07714249,18.60138407,"0",16.33893108,7.38591618,0,2013
"...28",315.27627018,39.70851055,54.4960117,132.68874673,28.5423922,43.25815941,44.17206978,77.1256411,18.33978567,"0",16.48224262,6.29805328,0,2014
"...29",321.98523466,41.81785851,53.05945254,133.79152984,30.94112507,46.05225559,43.75286704,76.83812902,17.29188603,"0",17.41818508,5.61845743,0,2015
"...30",324.4318252,45.15467801,51.32454987,134.34318687,29.58126276,47.75856334,43.41358509,75.78690119,17.01121124,"0",17.14693638,5.32032385,0,2016
"...31",327.25144873,49.58519858,51.43289129,134.73613128,28.7223304,48.08191798,43.92474101,76.20853044,17.20779107,"0",17.39223374,5.63626359,0,2017
