"","col1","col2","col3","col4"
"1",10.5166944536281,19.97492784,25.53048306,"Belgium"
"2",8.7421605709153,27.55458827,9.35011987,"Bulgaria"
"3",12.332794819271,51.48734186,18.41822011,"Czechia"
"4",8.84146066575296,11.38649579,13.05837391,"Denmark"
"5",11.3425160114037,307.8789536,166.15507089,"Germany"
"6",16.0080518076822,14.64477146,2.41295614,"Estonia"
"7",13.3361975723933,11.49729347,11.86374747,"Ireland"
"8",9.18302114105867,39.81710756,16.90317707,"Greece"
"9",7.67917173938012,80.51861603,87.76358426,"Spain"
"10",7.21489539530054,49.23993318,133.01732172,"France"
"11",6.13174486960587,4.46476634,6.56986287,"Croatia"
"12",7.24481122231768,104.21540186,98.39142731,"Italy"
"13",11.6425666411637,3.28783,2.07741637,"Cyprus"
"14",6.02829536294251,1.51115841,3.27269617,"Latvia"
"15",7.28173167353956,2.51029657,5.68851284,"Lithuania"
"16",20.2034034405172,0.2370041,5.58778912,"Luxembourg"
"17",6.58212496457026,13.86889283,12.97929438,"Hungary"
"18",5.61097113385488,0.72342454,0.62693109,"Malta"
"19",12.0498399836736,63.07236015,30.86242067,"The Netherlands"
"20",9.63501010901228,11.06591047,24.04568623,"Austria"
"21",10.9630249663945,164.03488598,62.50308634,"Poland"
"22",7.23662234895664,20.60981017,16.96722496,"Portugal"
"23",5.84450159409703,23.81664499,17.71904203,"Romania"
"24",8.48436365352547,4.88912287,5.47029481,"Slovenia"
"25",8.0000177486499,7.43620969,7.56275387,"Slovakia"
"26",10.4486517046054,17.27469628,11.38384554,"Finland"
"27",5.5478223494928,8.87774026,16.40255089,"Sweden"
"28",7.6760112181278,101.44138261,122.34804668,"United Kingdom"
